Song,File_Type,Difficulty,Total_Notes,4th_%,8th_%,12th_%,16th_%,24th_%,32nd_%,64th_%,Other_%,Density_Label
Soul On Fire.sm,.sm,Hard,662,52.1,47.9,0.0,0.0,0.0,0.0,0.0,0.0,Easy
Soul On Fire.sm,.sm,Challenge,812,44.0,43.3,0.0,12.7,0.0,0.0,0.0,0.0,Hard
ECHO.sm,.sm,Medium,323,70.9,29.1,0.0,0.0,0.0,0.0,0.0,0.0,Easy
ECHO.sm,.sm,Hard,419,57.5,40.3,0.0,2.1,0.0,0.0,0.0,0.0,Easy
ECHO.sm,.sm,Challenge,563,51.3,39.1,0.0,9.6,0.0,0.0,0.0,0.0,Easy
çïîØóêÇÍÇµèCóÖÇ∆Ç»ÇËÇƒ.sm,.sm,Medium,581,42.5,39.8,0.0,17.7,0.0,0.0,0.0,0.0,Hard
çïîØóêÇÍÇµèCóÖÇ∆Ç»ÇËÇƒ.sm,.sm,Hard,805,33.9,34.0,0.0,32.0,0.0,0.0,0.0,0.0,Challenging
çïîØóêÇÍÇµèCóÖÇ∆Ç»ÇËÇƒ.sm,.sm,Challenge,841,32.6,33.1,0.0,34.4,0.0,0.0,0.0,0.0,Challenging
Lively Passion.sm,.sm,Medium,380,68.9,30.8,0.0,0.3,0.0,0.0,0.0,0.0,Easy
Lively Passion.sm,.sm,Hard,494,57.5,41.7,0.0,0.8,0.0,0.0,0.0,0.0,Easy
Lively Passion.sm,.sm,Challenge,634,46.5,42.1,0.3,10.3,0.3,0.0,0.5,0.0,Hard
Love Climax.sm,.sm,Medium,414,71.7,28.3,0.0,0.0,0.0,0.0,0.0,0.0,Easy
Love Climax.sm,.sm,Hard,834,43.3,43.0,0.0,13.7,0.0,0.0,0.0,0.0,Hard
Love Climax.sm,.sm,Challenge,1042,34.6,34.5,0.3,30.3,0.3,0.0,0.0,0.0,Challenging
Love Climax.sm,.sm,Beginner,1275,28.3,28.2,0.2,41.4,0.2,1.3,0.0,0.3,Challenging
utyu.sm,.sm,Medium,489,47.4,36.0,0.0,16.6,0.0,0.0,0.0,0.0,Hard
utyu.sm,.sm,Hard,611,42.6,34.4,0.0,23.1,0.0,0.0,0.0,0.0,Hard
utyu.sm,.sm,Challenge,657,40.9,32.6,0.2,26.2,0.2,0.0,0.0,0.0,Hard
natumegu.sm,.sm,Medium,482,38.4,38.8,0.0,22.8,0.0,0.0,0.0,0.0,Hard
natumegu.sm,.sm,Hard,505,37.0,38.6,0.4,23.6,0.4,0.0,0.0,0.0,Hard
natumegu.sm,.sm,Challenge,563,34.5,35.7,0.7,28.4,0.7,0.0,0.0,0.0,Hard
kimitotsukuru.sm,.sm,Medium,688,34.9,34.9,1.3,23.4,1.3,3.5,0.7,0.0,Challenging
kimitotsukuru.sm,.sm,Hard,804,31.3,31.7,1.2,30.2,1.2,3.6,0.6,0.0,Challenging
kimitotsukuru.sm,.sm,Challenge,921,27.7,27.9,1.4,36.3,1.4,3.9,1.0,0.4,Challenging
The fine every day.sm,.sm,Medium,356,50.6,36.2,1.7,6.7,1.7,2.8,0.3,0.0,Hard
The fine every day.sm,.sm,Hard,525,44.6,38.1,0.0,14.3,0.0,1.9,1.1,0.0,Hard
The fine every day.sm,.sm,Challenge,946,26.1,24.9,18.6,7.5,18.6,3.6,0.6,0.0,Challenging
óˆÇ∑ÇÈê_í óÕ.sm,.sm,Medium,578,40.3,39.4,0.0,20.2,0.0,0.0,0.0,0.0,Hard
óˆÇ∑ÇÈê_í óÕ.sm,.sm,Hard,743,34.6,36.2,0.0,27.6,0.0,1.6,0.0,0.0,Hard
óˆÇ∑ÇÈê_í óÕ.sm,.sm,Challenge,932,28.9,29.5,0.0,38.0,0.0,3.6,0.0,0.0,Challenging
NoNoNo.sm,.sm,Medium,501,61.3,38.1,0.0,0.6,0.0,0.0,0.0,0.0,Easy
NoNoNo.sm,.sm,Hard,571,55.7,42.6,0.0,1.4,0.2,0.0,0.0,0.2,Hard
NoNoNo.sm,.sm,Challenge,597,53.3,43.6,0.0,2.8,0.2,0.0,0.0,0.2,Hard
last stardust.sm,.sm,Medium,484,43.4,56.4,0.0,0.2,0.0,0.0,0.0,0.0,Easy
last stardust.sm,.sm,Hard,560,49.3,50.5,0.0,0.2,0.0,0.0,0.0,0.0,Easy
last stardust.sm,.sm,Challenge,580,49.5,49.8,0.0,0.7,0.0,0.0,0.0,0.0,Easy
LOVE.sm,.sm,Challenge,715,31.9,29.7,1.5,36.1,0.7,0.0,0.1,0.0,Challenging
LOVE.sm,.sm,Medium,364,48.9,39.6,2.5,8.2,0.8,0.0,0.0,0.0,Hard
LOVE.sm,.sm,Hard,592,35.6,33.4,1.9,28.0,0.8,0.0,0.2,0.0,Hard
Passion.sm,.sm,Medium,715,37.3,40.4,1.5,19.2,1.5,0.0,0.0,0.0,Hard
Passion.sm,.sm,Hard,742,37.3,39.1,2.0,19.5,2.0,0.0,0.0,0.0,Hard
Passion.sm,.sm,Challenge,798,35.7,36.3,1.9,24.2,1.9,0.0,0.0,0.0,Hard
Passion.sm,.sm,Beginner,1071,27.4,27.4,2.4,40.4,2.4,0.0,0.0,0.0,Challenging
Vision.sm,.sm,Hard,291,37.8,44.7,0.0,17.5,0.0,0.0,0.0,0.0,Hard
Vision.sm,.sm,Challenge,1028,23.7,23.4,10.5,29.8,10.2,0.1,0.0,2.2,Challenging
Ç∑Ç´ÉbÉXSTEADYÅôÉLÉbÉX!!.sm,.sm,Medium,406,48.3,47.5,0.0,4.2,0.0,0.0,0.0,0.0,Easy
Ç∑Ç´ÉbÉXSTEADYÅôÉLÉbÉX!!.sm,.sm,Hard,618,45.6,42.9,0.0,11.2,0.0,0.3,0.0,0.0,Hard
Ç∑Ç´ÉbÉXSTEADYÅôÉLÉbÉX!!.sm,.sm,Challenge,826,36.9,36.1,0.0,26.8,0.0,0.2,0.0,0.0,Hard
Ç›Ç±Ç›Ç±ÉâÉìÉuÉãÅ`Ç†Ç»ÇΩÇ∆‚SÇ∞Ç¡ÇøÇ„Å[Å`.sm,.sm,Medium,510,55.3,39.8,0.0,4.9,0.0,0.0,0.0,0.0,Easy
Ç›Ç±Ç›Ç±ÉâÉìÉuÉãÅ`Ç†Ç»ÇΩÇ∆‚SÇ∞Ç¡ÇøÇ„Å[Å`.sm,.sm,Hard,794,40.8,37.0,0.5,21.2,0.5,0.0,0.0,0.0,Hard
Ç›Ç±Ç›Ç±ÉâÉìÉuÉãÅ`Ç†Ç»ÇΩÇ∆‚SÇ∞Ç¡ÇøÇ„Å[Å`.sm,.sm,Challenge,932,36.7,33.5,4.3,21.2,4.3,0.0,0.0,0.0,Hard
HELLorHELL.sm,.sm,Medium,594,47.1,38.4,0.7,13.1,0.7,0.0,0.0,0.0,Hard
HELLorHELL.sm,.sm,Hard,689,40.8,37.3,0.6,20.2,0.6,0.6,0.0,0.0,Hard
HELLorHELL.sm,.sm,Challenge,768,37.5,34.2,0.5,26.7,0.5,0.5,0.0,0.0,Hard
akiiro.sm,.sm,Hard,653,35.8,37.2,0.0,27.0,0.0,0.0,0.0,0.0,Hard
akiiro.sm,.sm,Challenge,829,28.5,29.2,0.0,40.4,0.0,0.8,1.1,0.0,Challenging
akiiro.sm,.sm,Beginner,901,27.2,27.3,0.8,42.1,0.8,0.9,1.0,0.0,Challenging
More-more LOVERS!!.sm,.sm,Easy,336,58.6,41.4,0.0,0.0,0.0,0.0,0.0,0.0,Easy
More-more LOVERS!!.sm,.sm,Medium,417,53.7,46.3,0.0,0.0,0.0,0.0,0.0,0.0,Easy
More-more LOVERS!!.sm,.sm,Hard,489,48.5,45.2,0.0,6.3,0.0,0.0,0.0,0.0,Easy
More-more LOVERS!!.sm,.sm,Challenge,566,42.9,43.1,0.7,11.8,0.7,0.7,0.0,0.0,Hard
lovehosyuu.sm,.sm,Medium,397,51.9,43.3,0.0,4.8,0.0,0.0,0.0,0.0,Easy
lovehosyuu.sm,.sm,Hard,460,49.1,43.0,0.0,7.8,0.0,0.0,0.0,0.0,Easy
lovehosyuu.sm,.sm,Challenge,552,42.0,39.5,0.0,18.1,0.2,0.0,0.0,0.2,Hard
issyoumono.sm,.sm,Medium,516,35.1,30.8,0.4,26.9,0.4,6.4,0.0,0.0,Challenging
issyoumono.sm,.sm,Hard,644,31.1,29.0,0.8,33.1,0.8,5.3,0.0,0.0,Challenging
issyoumono.sm,.sm,Challenge,758,27.0,26.0,0.9,39.8,0.9,5.3,0.0,0.0,Challenging
My Little Glory.sm,.sm,Medium,558,38.4,31.2,0.5,22.9,0.7,6.3,0.0,0.0,Challenging
My Little Glory.sm,.sm,Hard,614,36.5,29.5,0.8,24.9,1.0,7.3,0.0,0.0,Challenging
My Little Glory.sm,.sm,Challenge,762,30.3,25.6,1.4,28.3,1.6,8.8,2.4,1.6,Challenging
Acid Pumper.sm,.sm,Medium,522,43.5,33.9,0.0,22.6,0.0,0.0,0.0,0.0,Hard
Acid Pumper.sm,.sm,Hard,762,33.6,28.1,0.0,38.3,0.0,0.0,0.0,0.0,Challenging
Acid Pumper.sm,.sm,Challenge,875,29.9,26.2,0.1,42.5,0.1,1.1,0.0,0.0,Challenging
Stars Biscuit.sm,.sm,Medium,508,46.9,44.3,0.0,8.9,0.0,0.0,0.0,0.0,Easy
Stars Biscuit.sm,.sm,Hard,623,44.1,44.6,0.0,11.2,0.0,0.0,0.0,0.0,Hard
Stars Biscuit.sm,.sm,Challenge,851,34.3,33.6,0.0,32.1,0.0,0.0,0.0,0.0,Challenging
Princess Party.sm,.sm,Medium,607,47.8,45.1,0.0,7.1,0.0,0.0,0.0,0.0,Easy
Princess Party.sm,.sm,Hard,774,39.5,37.3,0.0,22.9,0.0,0.3,0.0,0.0,Hard
Princess Party.sm,.sm,Challenge,1006,30.5,29.8,5.5,26.2,5.6,2.0,0.4,0.0,Challenging
thousand.sm,.sm,Medium,1237,31.4,14.3,25.9,28.5,0.0,0.0,0.0,0.0,Hard
thousand.sm,.sm,Challenge,1311,29.6,15.9,24.4,30.1,0.0,0.0,0.0,0.0,Challenging
midori.sm,.sm,Hard,281,45.6,42.7,0.0,11.7,0.0,0.0,0.0,0.0,Hard
midori.sm,.sm,Challenge,490,33.5,33.7,0.0,22.2,0.0,10.6,0.0,0.0,Challenging
Å„ëæózånÅùÉhÅ[ÉiÉcâªåvâÊÅáÅÕÅá.sm,.sm,Medium,522,52.5,34.3,3.3,9.8,0.2,0.0,0.0,0.0,Hard
Å„ëæózånÅùÉhÅ[ÉiÉcâªåvâÊÅáÅÕÅá.sm,.sm,Hard,743,43.1,36.1,6.3,13.3,0.1,1.1,0.0,0.0,Hard
Å„ëæózånÅùÉhÅ[ÉiÉcâªåvâÊÅáÅÕÅá.sm,.sm,Challenge,836,38.4,32.3,7.5,19.5,1.3,1.0,0.0,0.0,Hard
basic.sm,.sm,Challenge,1148,29.2,28.7,0.4,41.2,0.4,0.0,0.0,0.0,Challenging
basic.sm,.sm,Hard,966,32.0,30.6,0.0,37.4,0.0,0.0,0.0,0.0,Challenging
basic.sm,.sm,Medium,532,48.1,47.9,0.0,3.9,0.0,0.0,0.0,0.0,Easy
basic.sm,.sm,Medium,596,34.9,36.4,0.0,28.7,0.0,0.0,0.0,0.0,Hard
basic.sm,.sm,Hard,725,34.1,35.4,0.0,30.5,0.0,0.0,0.0,0.0,Challenging
basic.sm,.sm,Challenge,838,30.0,30.8,0.0,36.4,0.0,2.9,0.0,0.0,Challenging
ÉlÉKÉCÉ~ÉY.sm,.sm,Medium,360,48.3,46.4,0.0,5.3,0.0,0.0,0.0,0.0,Easy
ÉlÉKÉCÉ~ÉY.sm,.sm,Hard,529,40.5,44.0,0.0,15.5,0.0,0.0,0.0,0.0,Hard
ÉlÉKÉCÉ~ÉY.sm,.sm,Challenge,817,28.8,29.4,5.6,30.4,5.9,0.0,0.0,0.0,Challenging
îwêÖîVêw.sm,.sm,Medium,670,42.2,38.7,0.0,19.1,0.0,0.0,0.0,0.0,Hard
îwêÖîVêw.sm,.sm,Hard,792,39.8,37.4,0.0,22.9,0.0,0.0,0.0,0.0,Hard
îwêÖîVêw.sm,.sm,Challenge,857,37.5,35.4,0.9,25.3,0.9,0.0,0.0,0.0,Hard
Sense 2007.sm,.sm,Medium,588,36.2,35.2,0.0,28.6,0.0,0.0,0.0,0.0,Hard
Sense 2007.sm,.sm,Hard,751,31.3,31.4,0.0,36.8,0.0,0.5,0.0,0.0,Challenging
Sense 2007.sm,.sm,Challenge,783,30.8,30.8,0.0,37.9,0.0,0.5,0.0,0.0,Challenging
Hold on me.sm,.sm,Medium,289,51.6,43.9,0.0,4.5,0.0,0.0,0.0,0.0,Easy
Hold on me.sm,.sm,Hard,349,48.4,44.1,0.0,7.4,0.0,0.0,0.0,0.0,Easy
Hold on me.sm,.sm,Challenge,525,35.0,34.9,1.1,27.8,1.1,0.0,0.0,0.0,Hard
Star.sm,.sm,Medium,865,36.8,29.2,0.0,34.0,0.0,0.0,0.0,0.0,Challenging
Star.sm,.sm,Hard,1059,33.1,31.4,0.0,35.5,0.0,0.0,0.0,0.0,Challenging
Star.sm,.sm,Challenge,1115,31.4,29.9,0.0,38.7,0.0,0.0,0.0,0.0,Challenging
Star.sm,.sm,Beginner,1123,31.2,30.4,0.0,38.5,0.0,0.0,0.0,0.0,Challenging
buntan.sm,.sm,Medium,399,49.1,42.9,0.0,8.0,0.0,0.0,0.0,0.0,Easy
buntan.sm,.sm,Hard,493,39.8,35.1,0.2,19.7,0.0,5.1,0.2,0.0,Challenging
buntan.sm,.sm,Challenge,738,33.2,33.1,1.9,22.2,1.6,5.4,1.6,0.9,Challenging
sigure.sm,.sm,Medium,374,82.6,16.8,0.0,0.5,0.0,0.0,0.0,0.0,Easy
sigure.sm,.sm,Hard,605,55.7,36.2,0.0,8.1,0.0,0.0,0.0,0.0,Easy
sigure.sm,.sm,Challenge,794,42.9,34.9,3.9,14.4,2.9,1.0,0.0,0.0,Hard
Splash!.sm,.sm,Medium,402,39.3,40.5,0.0,20.1,0.0,0.0,0.0,0.0,Hard
Splash!.sm,.sm,Hard,536,33.6,34.1,0.0,31.5,0.0,0.0,0.7,0.0,Challenging
Splash!.sm,.sm,Challenge,673,27.6,28.8,2.5,34.2,3.0,1.9,0.7,1.2,Challenging
Mirage Lullaby.sm,.sm,Medium,461,57.9,30.6,0.0,11.5,0.0,0.0,0.0,0.0,Hard
Mirage Lullaby.sm,.sm,Hard,706,38.8,35.6,0.0,25.6,0.0,0.0,0.0,0.0,Hard
Mirage Lullaby.sm,.sm,Challenge,1263,21.8,20.0,7.4,36.2,7.4,4.1,1.3,1.7,Challenging
rabilabo.sm,.sm,Medium,489,35.0,28.8,3.3,32.9,0.0,0.0,0.0,0.0,Challenging
rabilabo.sm,.sm,Hard,553,33.1,27.3,4.3,33.8,1.4,0.0,0.0,0.0,Challenging
rabilabo.sm,.sm,Challenge,585,31.6,26.5,5.5,33.7,2.7,0.0,0.0,0.0,Challenging
Happy!Puppy!.sm,.sm,Challenge,1062,29.9,29.0,0.4,36.8,0.4,3.1,0.0,0.4,Challenging
Happy!Puppy!.sm,.sm,Medium,517,51.1,48.0,0.2,0.6,0.2,0.0,0.0,0.0,Hard
Happy!Puppy!.sm,.sm,Hard,883,35.6,32.8,0.0,31.6,0.0,0.0,0.0,0.0,Challenging
katatinaikioku.sm,.sm,Hard,391,59.8,30.9,1.0,7.7,0.0,0.0,0.5,0.0,Hard
katatinaikioku.sm,.sm,Challenge,902,28.6,26.5,0.7,40.7,0.0,3.4,0.1,0.0,Challenging
Good-bye crisis feat.Gameloid.sm,.sm,Challenge,1579,21.0,21.0,1.0,39.7,1.0,9.6,4.7,2.0,Challenging
Girlish!!.sm,.sm,Medium,369,53.9,42.5,0.0,3.5,0.0,0.0,0.0,0.0,Easy
Girlish!!.sm,.sm,Hard,789,38.4,37.1,0.4,23.3,0.4,0.1,0.3,0.0,Hard
Girlish!!.sm,.sm,Challenge,922,33.0,32.5,0.3,33.5,0.3,0.1,0.2,0.0,Challenging
tazyuu.sm,.sm,Medium,749,36.4,28.6,15.2,19.8,0.0,0.0,0.0,0.0,Hard
tazyuu.sm,.sm,Hard,870,34.0,25.7,13.4,26.4,0.3,0.0,0.0,0.0,Hard
tazyuu.sm,.sm,Challenge,937,32.2,24.5,13.1,28.9,1.0,0.2,0.0,0.0,Hard
tazyuu.sm,.sm,Beginner,945,32.0,24.1,13.0,29.7,1.0,0.2,0.0,0.0,Hard
7th WORLD'S OUT.sm,.sm,Challenge,784,36.1,33.7,9.9,10.2,9.2,0.0,0.9,0.0,Challenging
7th WORLD'S OUT.sm,.sm,Hard,725,39.0,36.6,2.2,19.9,1.4,0.0,1.0,0.0,Hard
kiminosorabokunosora.sm,.sm,Medium,483,34.8,28.6,4.1,29.2,3.1,0.2,0.0,0.0,Hard
kiminosorabokunosora.sm,.sm,Hard,516,32.6,27.3,5.2,30.4,4.3,0.2,0.0,0.0,Challenging
kiminosorabokunosora.sm,.sm,Challenge,630,29.0,25.9,4.8,36.2,4.0,0.2,0.0,0.0,Challenging
ÉhÉâÉ}ÉeÉBÉbÉNÅEÉpÉåÅ[Éh.sm,.sm,Medium,347,45.8,53.0,0.3,0.6,0.3,0.0,0.0,0.0,Hard
ÉhÉâÉ}ÉeÉBÉbÉNÅEÉpÉåÅ[Éh.sm,.sm,Hard,456,42.1,48.2,0.2,9.2,0.2,0.0,0.0,0.0,Hard
ÉhÉâÉ}ÉeÉBÉbÉNÅEÉpÉåÅ[Éh.sm,.sm,Challenge,683,34.8,37.6,1.8,24.0,1.8,0.0,0.0,0.0,Hard
LOVE ADVENTURE.sm,.sm,Hard,370,43.5,35.7,0.0,20.8,0.0,0.0,0.0,0.0,Hard
LOVE ADVENTURE.sm,.sm,Challenge,550,32.9,30.0,0.0,37.1,0.0,0.0,0.0,0.0,Challenging
RockOnYou.sm,.sm,Medium,425,50.6,43.5,0.2,5.6,0.0,0.0,0.0,0.0,Easy
RockOnYou.sm,.sm,Hard,533,48.6,44.8,0.2,6.4,0.0,0.0,0.0,0.0,Easy
RockOnYou.sm,.sm,Challenge,633,41.5,40.4,1.4,15.3,1.3,0.0,0.0,0.0,Hard
PeaceÅóPieces.sm,.sm,Challenge,834,32.0,33.2,0.0,34.8,0.0,0.0,0.0,0.0,Challenging
PeaceÅóPieces.sm,.sm,Easy,325,44.0,55.4,0.0,0.6,0.0,0.0,0.0,0.0,Easy
PeaceÅóPieces.sm,.sm,Medium,524,36.6,47.3,0.0,16.0,0.0,0.0,0.0,0.0,Hard
PeaceÅóPieces.sm,.sm,Hard,689,34.7,37.9,0.0,27.4,0.0,0.0,0.0,0.0,Hard
choco.sm,.sm,Medium,699,33.6,26.3,0.0,40.1,0.0,0.0,0.0,0.0,Challenging
choco.sm,.sm,Hard,770,32.5,25.8,0.0,41.7,0.0,0.0,0.0,0.0,Challenging
choco.sm,.sm,Challenge,983,27.8,26.6,0.0,45.7,0.0,0.0,0.0,0.0,Challenging
Gracias.sm,.sm,Medium,724,46.7,42.1,0.0,11.2,0.0,0.0,0.0,0.0,Hard
Gracias.sm,.sm,Hard,1474,25.6,25.4,0.0,49.1,0.0,0.0,0.0,0.0,Challenging
Gracias.sm,.sm,Challenge,1657,22.9,22.6,0.0,43.9,0.0,10.5,0.0,0.0,Challenging
MAID in brade.sm,.sm,Medium,303,82.8,17.2,0.0,0.0,0.0,0.0,0.0,0.0,Easy
MAID in brade.sm,.sm,Hard,478,72.6,25.7,1.7,0.0,0.0,0.0,0.0,0.0,Easy
MAID in brade.sm,.sm,Challenge,600,62.2,34.0,2.0,1.8,0.0,0.0,0.0,0.0,Easy
Kaleidoscope.sm,.sm,Challenge,546,44.1,41.9,0.0,12.5,0.0,1.5,0.0,0.0,Hard
MA-N-KI-TSU!.sm,.sm,Medium,354,67.8,28.2,0.0,4.0,0.0,0.0,0.0,0.0,Easy
MA-N-KI-TSU!.sm,.sm,Hard,672,44.9,40.8,0.0,14.3,0.0,0.0,0.0,0.0,Hard
MA-N-KI-TSU!.sm,.sm,Challenge,994,30.6,30.8,0.3,35.5,0.3,2.3,0.0,0.2,Challenging
Imperishable Night 2006 (2016 Refine).sm,.sm,Challenge,1106,30.7,29.5,1.3,35.4,1.3,1.8,0.0,0.0,Challenging
Imperishable Night 2006 (2016 Refine).sm,.sm,Hard,1108,30.6,29.3,1.3,37.0,1.3,0.5,0.0,0.0,Challenging
Imperishable Night 2006 (2016 Refine).sm,.sm,Beginner,1359,25.0,24.1,1.0,30.5,1.0,18.4,0.0,0.0,Challenging
patoran.sm,.sm,Medium,866,50.0,31.5,0.0,17.6,0.0,0.9,0.0,0.0,Hard
patoran.sm,.sm,Hard,1050,41.4,35.6,0.0,21.8,0.0,1.1,0.0,0.0,Hard
patoran.sm,.sm,Challenge,1130,39.0,34.3,1.6,24.0,0.0,1.1,0.0,0.0,Hard
arcadia.sm,.sm,Medium,375,64.8,35.2,0.0,0.0,0.0,0.0,0.0,0.0,Easy
arcadia.sm,.sm,Hard,530,53.4,41.7,0.0,4.9,0.0,0.0,0.0,0.0,Easy
arcadia.sm,.sm,Challenge,582,51.4,43.6,0.0,5.0,0.0,0.0,0.0,0.0,Easy
iroha.sm,.sm,Medium,738,40.5,36.0,0.1,23.2,0.1,0.0,0.0,0.0,Hard
iroha.sm,.sm,Hard,923,33.0,30.4,0.7,32.2,0.7,2.3,0.8,0.0,Challenging
iroha.sm,.sm,Challenge,994,30.7,28.4,0.6,36.3,0.6,2.7,0.7,0.0,Challenging
SuisaiCandy.sm,.sm,Medium,376,51.6,44.1,0.0,4.3,0.0,0.0,0.0,0.0,Easy
SuisaiCandy.sm,.sm,Hard,444,46.6,42.3,0.0,11.0,0.0,0.0,0.0,0.0,Hard
SuisaiCandy.sm,.sm,Challenge,477,44.0,40.5,0.2,15.1,0.2,0.0,0.0,0.0,Hard
LoveHalation.sm,.sm,Medium,649,43.6,42.1,0.0,14.3,0.0,0.0,0.0,0.0,Hard
LoveHalation.sm,.sm,Hard,824,35.2,35.9,3.6,21.7,3.5,0.0,0.0,0.0,Hard
LoveHalation.sm,.sm,Challenge,1061,27.3,28.4,3.6,29.2,3.5,3.4,0.0,4.6,Challenging
kurorekisi.sm,.sm,Medium,469,41.6,36.0,0.4,21.7,0.2,0.0,0.0,0.0,Hard
kurorekisi.sm,.sm,Hard,597,38.2,35.5,1.0,25.1,0.2,0.0,0.0,0.0,Hard
kurorekisi.sm,.sm,Challenge,759,30.4,28.3,8.4,25.0,7.8,0.0,0.0,0.0,Challenging
Åôì¯êFÉçÉbÉNÉìÉçÅ[ÉãÅÙ.sm,.sm,Medium,379,48.8,49.9,0.0,1.3,0.0,0.0,0.0,0.0,Easy
Åôì¯êFÉçÉbÉNÉìÉçÅ[ÉãÅÙ.sm,.sm,Hard,521,47.4,44.3,0.0,8.3,0.0,0.0,0.0,0.0,Easy
Åôì¯êFÉçÉbÉNÉìÉçÅ[ÉãÅÙ.sm,.sm,Challenge,636,40.7,41.0,0.0,18.2,0.0,0.0,0.0,0.0,Hard
Beginning Moment.sm,.sm,Medium,344,44.8,41.9,0.0,12.8,0.0,0.0,0.6,0.0,Hard
Beginning Moment.sm,.sm,Hard,434,37.8,39.2,0.0,22.6,0.0,0.0,0.5,0.0,Hard
Beginning Moment.sm,.sm,Challenge,502,36.5,36.9,0.0,26.3,0.0,0.0,0.4,0.0,Hard
ÇÁÇ‘ÇÁÇ‘ÅôÇÍÇ⁄ÇÈÅ[ÇµÇÂÇÒÇ»Ç§ÅI.sm,.sm,Hard,535,32.7,37.4,0.4,28.6,0.0,0.9,0.0,0.0,Hard
ÇÁÇ‘ÇÁÇ‘ÅôÇÍÇ⁄ÇÈÅ[ÇµÇÂÇÒÇ»Ç§ÅI.sm,.sm,Challenge,783,25.9,28.6,0.3,44.4,0.1,0.6,0.0,0.0,Challenging
ÇÁÇ‘ÇÁÇ‘ÅôÇÍÇ⁄ÇÈÅ[ÇµÇÂÇÒÇ»Ç§ÅI.sm,.sm,Medium,272,41.5,50.7,0.7,7.0,0.0,0.0,0.0,0.0,Easy
hatsukoi.sm,.sm,Challenge,580,46.7,45.5,0.2,7.4,0.2,0.0,0.0,0.0,Hard
128Å„e980.sm,.sm,Medium,608,49.8,46.4,0.3,3.5,0.0,0.0,0.0,0.0,Easy
128Å„e980.sm,.sm,Hard,708,48.6,46.9,0.3,4.2,0.0,0.0,0.0,0.0,Easy
128Å„e980.sm,.sm,Challenge,785,43.8,42.3,0.3,13.6,0.0,0.0,0.0,0.0,Hard
kiss me kiss to you.sm,.sm,Medium,378,46.8,40.2,1.1,10.8,1.1,0.0,0.0,0.0,Hard
kiss me kiss to you.sm,.sm,Hard,425,43.1,40.0,1.2,14.6,1.2,0.0,0.0,0.0,Hard
kiss me kiss to you.sm,.sm,Challenge,504,40.1,39.7,1.0,18.3,1.0,0.0,0.0,0.0,Hard
horizont_Real.sm,.sm,Medium,539,77.0,17.3,0.0,5.8,0.0,0.0,0.0,0.0,Easy
horizont_Real.sm,.sm,Hard,1006,45.6,28.9,0.0,25.4,0.0,0.0,0.0,0.0,Hard
horizont_Real.sm,.sm,Challenge,1471,33.0,26.4,2.9,33.0,2.8,1.9,0.0,0.0,Challenging
Dear you.sm,.sm,Medium,451,50.1,38.4,0.4,10.6,0.4,0.0,0.0,0.0,Hard
Dear you.sm,.sm,Hard,643,40.0,35.6,0.3,23.8,0.3,0.0,0.0,0.0,Hard
Dear you.sm,.sm,Challenge,979,28.8,29.3,0.2,41.5,0.2,0.0,0.0,0.0,Challenging
Ç†ÇΩÇµÇÁÇµÇ≠ÅI.sm,.sm,Medium,290,51.7,33.8,1.4,11.7,1.4,0.0,0.0,0.0,Hard
Ç†ÇΩÇµÇÁÇµÇ≠ÅI.sm,.sm,Hard,425,37.4,33.2,0.9,27.5,0.9,0.0,0.0,0.0,Hard
Ç†ÇΩÇµÇÁÇµÇ≠ÅI.sm,.sm,Challenge,629,28.5,25.8,4.8,35.8,4.8,0.5,0.0,0.0,Challenging
ÇÕÅEÇøÅEÇ€ÅEÇø.sm,.sm,Medium,305,61.0,38.7,0.0,0.3,0.0,0.0,0.0,0.0,Easy
ÇÕÅEÇøÅEÇ€ÅEÇø.sm,.sm,Hard,460,52.4,45.2,0.0,2.4,0.0,0.0,0.0,0.0,Easy
ÇÕÅEÇøÅEÇ€ÅEÇø.sm,.sm,Challenge,501,48.9,45.7,0.0,5.4,0.0,0.0,0.0,0.0,Easy
FairyJoke.sm,.sm,Challenge,809,33.7,31.3,6.7,21.6,6.2,0.5,0.0,0.0,Challenging
FairyJoke.sm,.sm,Hard,637,41.1,35.3,2.8,17.9,2.8,0.0,0.0,0.0,Hard
tukisome.sm,.sm,Medium,317,64.4,30.6,0.0,5.0,0.0,0.0,0.0,0.0,Easy
tukisome.sm,.sm,Hard,712,38.6,28.2,0.0,33.1,0.0,0.0,0.0,0.0,Challenging
tukisome.sm,.sm,Challenge,1221,27.6,26.8,0.0,44.6,0.0,1.0,0.0,0.0,Challenging
Graceful Anomaly.sm,.sm,Hard,514,35.2,33.7,1.9,17.3,2.1,7.0,2.7,0.0,Challenging
Graceful Anomaly.sm,.sm,Challenge,732,29.1,26.9,2.5,32.1,2.6,4.9,1.9,0.0,Challenging
tokinosenka.sm,.sm,Medium,248,67.3,32.7,0.0,0.0,0.0,0.0,0.0,0.0,Easy
tokinosenka.sm,.sm,Hard,418,52.6,38.3,0.5,8.1,0.5,0.0,0.0,0.0,Hard
tokinosenka.sm,.sm,Challenge,533,41.8,34.3,0.4,23.1,0.4,0.0,0.0,0.0,Hard
Red. by full metal jacket.sm,.sm,Hard,682,42.4,39.7,0.0,17.9,0.0,0.0,0.0,0.0,Hard
